term	contrast	null.value	estimate	conf.low	conf.high	adj.p.value	animal	FDR	significance
62	Gmina	WIELICZKA-NIEPOLOMICE	0	1.04083408558608e-17	-0.118844534834894	0.118844534834894	1	racoon.dog	1	FALSE
63	group	lockdown-	0	0.0158730158730159	-0.0202755668386457	0.0520215985846774	0.377771712121923	rat	0.795898382983691	FALSE
64	Gmina	WIELICZKA-NIEPOLOMICE	0	-1.73472347597681e-17	-0.0462553057698649	0.0462553057698648	1	rat	1	FALSE
65	group	lockdown-	0	0.037037037037037	-0.0558401243135423	0.129914198387616	0.422634565145681	red.deer	0.795898382983691	FALSE
66	Gmina	NIEPOLOMICE-KRAKOW	0	0.0416666666666667	-0.0771778681682277	0.160511201501561	0.668014149827837	red.deer	0.935219809758972	FALSE
67	Gmina	WIELICZKA-KRAKOW	0	0.0416666666666667	-0.0771778681682277	0.160511201501561	0.668014149827837	red.deer	0.935219809758972	FALSE
68	Gmina	WIELICZKA-NIEPOLOMICE	0	-1.04083408558608e-17	-0.118844534834894	0.118844534834894	1	red.deer	1	FALSE
69	group	lockdown-	0	-0.00411522633744857	-0.0142028423354343	0.00597238966053718	0.412151650502924	red.fox	0.795898382983691	FALSE
70	Gmina	WIELICZKA-NIEPOLOMICE	0	0.00284900284900285	-0.0100589931905012	0.0157569988885069	0.85106430282114	red.fox	1	FALSE
71	group	lockdown-	0	0.00777849140084206	-0.000769306887583563	0.0163262896892677	0.0730342205921032	roe.deer	0.245394981189467	FALSE
72	Gmina	WIELICZKA-NIEPOLOMICE	0	0.00112395632626847	-0.0098137068912359	0.0120616195437728	0.965496648515359	roe.deer	1	FALSE
73	group	lockdown-	0	-0.0229276895943563	-0.0524565450639637	0.0066011658752512	0.123581006413893	squirrel	0.399261713029502	FALSE
74	Gmina	WIELICZKA-NIEPOLOMICE	0	-0.00396825396825399	-0.0417530337942196	0.0338165258577117	0.963990612871749	squirrel	1	FALSE
75	group	lockdown-	0	-0.037037037037037	-0.131339506642844	0.0572654325687701	0.429609974209553	stone.marten	0.795898382983691	FALSE
76	Gmina	NIEPOLOMICE-KRAKOW	0	-0.0833333333333334	-0.204001676025032	0.0373350093583654	0.221861040297876	stone.marten	0.665583120893627	FALSE
77	Gmina	WIELICZKA-KRAKOW	0	-0.0833333333333334	-0.204001676025032	0.0373350093583654	0.221861040297875	stone.marten	0.665583120893627	FALSE
78	Gmina	WIELICZKA-NIEPOLOMICE	0	-2.77555756156289e-17	-0.120668342691699	0.120668342691699	1	stone.marten	1	FALSE
79	group	lockdown-	0	-0.037037037037037	-0.169060494485167	0.0949864204110929	0.571701255125655	weasel	0.873143735101	FALSE
80	Gmina	NIEPOLOMICE-KRAKOW	0	-0.0833333333333333	-0.252269013101712	0.085602346435045	0.454799075990681	weasel	0.795898382983691	FALSE
81	Gmina	WIELICZKA-KRAKOW	0	-0.0833333333333334	-0.252269013101712	0.0856023464350449	0.454799075990681	weasel	0.795898382983691	FALSE
82	Gmina	WIELICZKA-NIEPOLOMICE	0	-2.08166817117217e-17	-0.168935679768378	0.168935679768378	1	weasel	1	FALSE
83	group	lockdown-	0	-6.93889390390723e-18	-0.0127301839141727	0.0127301839141727	1	wild.boar	1	FALSE
84	Gmina	WIELICZKA-NIEPOLOMICE	0	-6.93889390390723e-18	-0.0162893951929881	0.0162893951929881	1	wild.boar	1	FALSE
