A_location	A_lockdown	B_location	B_lockdown	FDR	A_time	B_time	significance
KRAKOW	FALSE	KRAKOW	FALSE	0.0793728564429201	2000_0000	0000_0400	FALSE
KRAKOW	TRUE	KRAKOW	FALSE	0.245064669843431	2000_0000	0000_0400	FALSE
NIEPOLOMICE	FALSE	KRAKOW	FALSE	0.0751648351648352	2000_0000	0000_0400	FALSE
NIEPOLOMICE	TRUE	KRAKOW	FALSE	0.683760683760684	2000_0000	0000_0400	FALSE
WIELICZKA	FALSE	KRAKOW	FALSE	0.29585798816568	2000_0000	0000_0400	FALSE
WIELICZKA	TRUE	KRAKOW	FALSE	0.464163471189232	2000_0000	0000_0400	FALSE
NIEPOLOMICE	FALSE	KRAKOW	TRUE	1	0000_0400	0000_0400	FALSE
NIEPOLOMICE	TRUE	KRAKOW	TRUE	1	0000_0400	0000_0400	FALSE
WIELICZKA	TRUE	KRAKOW	TRUE	1	0000_0400	0000_0400	FALSE
KRAKOW	FALSE	KRAKOW	TRUE	0.191482638766984	0400_0800	0000_0400	FALSE
KRAKOW	TRUE	KRAKOW	TRUE	0.191482638766984	0400_0800	0000_0400	FALSE
NIEPOLOMICE	FALSE	KRAKOW	TRUE	0.835958718087996	0400_0800	0000_0400	FALSE
NIEPOLOMICE	TRUE	KRAKOW	TRUE	1	0400_0800	0000_0400	FALSE
WIELICZKA	FALSE	KRAKOW	TRUE	0.191482638766984	0400_0800	0000_0400	FALSE
WIELICZKA	TRUE	KRAKOW	TRUE	0.870040380095225	0400_0800	0000_0400	FALSE
KRAKOW	FALSE	KRAKOW	TRUE	0.0800916874536506	0800_1200	0000_0400	FALSE
KRAKOW	TRUE	KRAKOW	TRUE	0.191482638766984	0800_1200	0000_0400	FALSE
NIEPOLOMICE	FALSE	KRAKOW	TRUE	0.488525428060312	0800_1200	0000_0400	FALSE
NIEPOLOMICE	TRUE	KRAKOW	TRUE	0.191482638766984	0800_1200	0000_0400	FALSE
WIELICZKA	FALSE	KRAKOW	TRUE	0.113029827315542	0800_1200	0000_0400	FALSE
WIELICZKA	TRUE	KRAKOW	TRUE	0.318498659517426	0800_1200	0000_0400	FALSE
KRAKOW	FALSE	KRAKOW	TRUE	0.0972248090892159	1200_1600	0000_0400	FALSE
KRAKOW	TRUE	KRAKOW	TRUE	0.191482638766984	1200_1600	0000_0400	FALSE
NIEPOLOMICE	FALSE	KRAKOW	TRUE	0.826692391577888	1200_1600	0000_0400	FALSE
NIEPOLOMICE	TRUE	KRAKOW	TRUE	0.43252427184466	1200_1600	0000_0400	FALSE
WIELICZKA	FALSE	KRAKOW	TRUE	0.191482638766984	1200_1600	0000_0400	FALSE
WIELICZKA	TRUE	KRAKOW	TRUE	0.711851023228269	1200_1600	0000_0400	FALSE
KRAKOW	FALSE	KRAKOW	TRUE	0.123500864617616	1600_2000	0000_0400	FALSE
KRAKOW	TRUE	KRAKOW	TRUE	0.191482638766984	1600_2000	0000_0400	FALSE
NIEPOLOMICE	FALSE	KRAKOW	TRUE	0.54169360051713	1600_2000	0000_0400	FALSE
NIEPOLOMICE	TRUE	KRAKOW	TRUE	0.870040380095225	1600_2000	0000_0400	FALSE
WIELICZKA	FALSE	KRAKOW	TRUE	0.242997358724362	1600_2000	0000_0400	FALSE
WIELICZKA	TRUE	KRAKOW	TRUE	0.522197802197802	1600_2000	0000_0400	FALSE
KRAKOW	FALSE	KRAKOW	TRUE	0.11166253101737	2000_0000	0000_0400	FALSE
KRAKOW	TRUE	KRAKOW	TRUE	0.522197802197802	2000_0000	0000_0400	FALSE
NIEPOLOMICE	FALSE	KRAKOW	TRUE	0.538989394884591	2000_0000	0000_0400	FALSE
NIEPOLOMICE	TRUE	KRAKOW	TRUE	1	2000_0000	0000_0400	FALSE
WIELICZKA	FALSE	KRAKOW	TRUE	0.821902235695339	2000_0000	0000_0400	FALSE
WIELICZKA	TRUE	KRAKOW	TRUE	0.870040380095225	2000_0000	0000_0400	FALSE
NIEPOLOMICE	TRUE	NIEPOLOMICE	FALSE	1	0000_0400	0000_0400	FALSE
WIELICZKA	TRUE	NIEPOLOMICE	FALSE	1	0000_0400	0000_0400	FALSE
KRAKOW	FALSE	NIEPOLOMICE	FALSE	0.191482638766984	0400_0800	0000_0400	FALSE
KRAKOW	TRUE	NIEPOLOMICE	FALSE	0.191482638766984	0400_0800	0000_0400	FALSE
NIEPOLOMICE	FALSE	NIEPOLOMICE	FALSE	0.84916595691643	0400_0800	0000_0400	FALSE
NIEPOLOMICE	TRUE	NIEPOLOMICE	FALSE	1	0400_0800	0000_0400	FALSE
WIELICZKA	FALSE	NIEPOLOMICE	FALSE	0.191482638766984	0400_0800	0000_0400	FALSE
WIELICZKA	TRUE	NIEPOLOMICE	FALSE	0.870040380095225	0400_0800	0000_0400	FALSE
KRAKOW	FALSE	NIEPOLOMICE	FALSE	0.0775694893341952	0800_1200	0000_0400	FALSE
KRAKOW	TRUE	NIEPOLOMICE	FALSE	0.191482638766984	0800_1200	0000_0400	FALSE
NIEPOLOMICE	FALSE	NIEPOLOMICE	FALSE	0.464163471189232	0800_1200	0000_0400	FALSE
NIEPOLOMICE	TRUE	NIEPOLOMICE	FALSE	0.191482638766984	0800_1200	0000_0400	FALSE
WIELICZKA	FALSE	NIEPOLOMICE	FALSE	0.130549450549451	0800_1200	0000_0400	FALSE
WIELICZKA	TRUE	NIEPOLOMICE	FALSE	0.318498659517426	0800_1200	0000_0400	FALSE
KRAKOW	FALSE	NIEPOLOMICE	FALSE	0.118059950520684	1200_1600	0000_0400	FALSE
KRAKOW	TRUE	NIEPOLOMICE	FALSE	0.191482638766984	1200_1600	0000_0400	FALSE
NIEPOLOMICE	FALSE	NIEPOLOMICE	FALSE	0.835958718087996	1200_1600	0000_0400	FALSE
NIEPOLOMICE	TRUE	NIEPOLOMICE	FALSE	0.43252427184466	1200_1600	0000_0400	FALSE
WIELICZKA	FALSE	NIEPOLOMICE	FALSE	0.191482638766984	1200_1600	0000_0400	FALSE
WIELICZKA	TRUE	NIEPOLOMICE	FALSE	0.711851023228269	1200_1600	0000_0400	FALSE
KRAKOW	FALSE	NIEPOLOMICE	FALSE	0.120535714285714	1600_2000	0000_0400	FALSE
KRAKOW	TRUE	NIEPOLOMICE	FALSE	0.191482638766984	1600_2000	0000_0400	FALSE
NIEPOLOMICE	FALSE	NIEPOLOMICE	FALSE	0.576923076923077	1600_2000	0000_0400	FALSE
NIEPOLOMICE	TRUE	NIEPOLOMICE	FALSE	0.870040380095225	1600_2000	0000_0400	FALSE
WIELICZKA	FALSE	NIEPOLOMICE	FALSE	0.221851097231036	1600_2000	0000_0400	FALSE
WIELICZKA	TRUE	NIEPOLOMICE	FALSE	0.522197802197802	1600_2000	0000_0400	FALSE
KRAKOW	FALSE	NIEPOLOMICE	FALSE	0.123500864617616	2000_0000	0000_0400	FALSE
KRAKOW	TRUE	NIEPOLOMICE	FALSE	0.522197802197802	2000_0000	0000_0400	FALSE
NIEPOLOMICE	FALSE	NIEPOLOMICE	FALSE	0.579547840694338	2000_0000	0000_0400	FALSE
NIEPOLOMICE	TRUE	NIEPOLOMICE	FALSE	1	2000_0000	0000_0400	FALSE
WIELICZKA	FALSE	NIEPOLOMICE	FALSE	0.824869203454289	2000_0000	0000_0400	FALSE
WIELICZKA	TRUE	NIEPOLOMICE	FALSE	0.870040380095225	2000_0000	0000_0400	FALSE
KRAKOW	FALSE	NIEPOLOMICE	TRUE	0.0635792778649922	0400_0800	0000_0400	FALSE
KRAKOW	TRUE	NIEPOLOMICE	TRUE	0.191482638766984	0400_0800	0000_0400	FALSE
NIEPOLOMICE	FALSE	NIEPOLOMICE	TRUE	0.407121991932119	0400_0800	0000_0400	FALSE
NIEPOLOMICE	TRUE	NIEPOLOMICE	TRUE	0.464163471189232	0400_0800	0000_0400	FALSE
WIELICZKA	FALSE	NIEPOLOMICE	TRUE	0.139792899408284	0400_0800	0000_0400	FALSE
WIELICZKA	TRUE	NIEPOLOMICE	TRUE	0.798080614203455	0400_0800	0000_0400	FALSE
KRAKOW	FALSE	NIEPOLOMICE	TRUE	0.0659340659340659	0800_1200	0000_0400	FALSE
KRAKOW	TRUE	NIEPOLOMICE	TRUE	0.191482638766984	0800_1200	0000_0400	FALSE
NIEPOLOMICE	FALSE	NIEPOLOMICE	TRUE	0.0659340659340659	0800_1200	0000_0400	FALSE
NIEPOLOMICE	TRUE	NIEPOLOMICE	TRUE	0.191482638766984	0800_1200	0000_0400	FALSE
WIELICZKA	FALSE	NIEPOLOMICE	TRUE	0.0800916874536506	0800_1200	0000_0400	FALSE
WIELICZKA	TRUE	NIEPOLOMICE	TRUE	0.191482638766984	0800_1200	0000_0400	FALSE
KRAKOW	FALSE	NIEPOLOMICE	TRUE	0.0862509583439816	1200_1600	0000_0400	FALSE
KRAKOW	TRUE	NIEPOLOMICE	TRUE	0.191482638766984	1200_1600	0000_0400	FALSE
NIEPOLOMICE	FALSE	NIEPOLOMICE	TRUE	0.257777208214526	1200_1600	0000_0400	FALSE
NIEPOLOMICE	TRUE	NIEPOLOMICE	TRUE	0.191482638766984	1200_1600	0000_0400	FALSE
WIELICZKA	FALSE	NIEPOLOMICE	TRUE	0.0800916874536506	1200_1600	0000_0400	FALSE
WIELICZKA	TRUE	NIEPOLOMICE	TRUE	0.318498659517426	1200_1600	0000_0400	FALSE
KRAKOW	FALSE	NIEPOLOMICE	TRUE	0.0800916874536506	1600_2000	0000_0400	FALSE
KRAKOW	TRUE	NIEPOLOMICE	TRUE	0.191482638766984	1600_2000	0000_0400	FALSE
NIEPOLOMICE	FALSE	NIEPOLOMICE	TRUE	0.113029827315542	1600_2000	0000_0400	FALSE
NIEPOLOMICE	TRUE	NIEPOLOMICE	TRUE	0.522197802197802	1600_2000	0000_0400	FALSE
WIELICZKA	FALSE	NIEPOLOMICE	TRUE	0.191482638766984	1600_2000	0000_0400	FALSE
WIELICZKA	TRUE	NIEPOLOMICE	TRUE	0.318498659517426	1600_2000	0000_0400	FALSE
KRAKOW	FALSE	NIEPOLOMICE	TRUE	0.0862509583439816	2000_0000	0000_0400	FALSE
KRAKOW	TRUE	NIEPOLOMICE	TRUE	0.191482638766984	2000_0000	0000_0400	FALSE
NIEPOLOMICE	FALSE	NIEPOLOMICE	TRUE	0.795918367346939	2000_0000	0000_0400	FALSE
NIEPOLOMICE	TRUE	NIEPOLOMICE	TRUE	0.798080614203455	2000_0000	0000_0400	FALSE
WIELICZKA	FALSE	NIEPOLOMICE	TRUE	0.485514485514486	2000_0000	0000_0400	FALSE
WIELICZKA	TRUE	NIEPOLOMICE	TRUE	0.798080614203455	2000_0000	0000_0400	FALSE
KRAKOW	FALSE	WIELICZKA	TRUE	0.329142857142857	0400_0800	0000_0400	FALSE
KRAKOW	TRUE	WIELICZKA	TRUE	0.380769230769231	0400_0800	0000_0400	FALSE
NIEPOLOMICE	FALSE	WIELICZKA	TRUE	0.870040380095225	0400_0800	0000_0400	FALSE
NIEPOLOMICE	TRUE	WIELICZKA	TRUE	1	0400_0800	0000_0400	FALSE
WIELICZKA	FALSE	WIELICZKA	TRUE	0.464163471189232	0400_0800	0000_0400	FALSE
WIELICZKA	TRUE	WIELICZKA	TRUE	1	0400_0800	0000_0400	FALSE
KRAKOW	FALSE	WIELICZKA	TRUE	0.191482638766984	0800_1200	0000_0400	FALSE
