Gmina	year	month	time_range	badger	beaver	birds	deer	dog	domestic.cat	goat	hare	hedgehog	horse	jackal	moose	racoon.dog	rat	red.deer	red.fox	roe.deer	squirrel	stone.marten	weasel	wild.boar	mds1	mds2	lockdown
11	KRAKOW	2019	2	2000_0000	0	0	0	0	0.0119047619047619	0.0050761421319797	0	0	0	0	0	0	0	0	0	0	0.00386100386100386	0	0	0	0.0113636363636364	-0.190751326724257	-0.259560717098385	FALSE
12	KRAKOW	2019	3	0000_0400	0.0769230769230769	0	0	0	0	0.00169204737732657	0	0	0	0	0	0	0	0	0	0	0.00386100386100386	0	0	0	0	-0.0837676779876114	0.165157154495676	FALSE
13	KRAKOW	2019	3	0400_0800	0	0	0	0	0	0.0236886632825719	0	0	0	0	1	0	0	0	0	0.00854700854700855	0.00386100386100386	0	0	0	0	-0.0754946689259376	0.155613005366527	FALSE
14	KRAKOW	2019	3	0800_1200	0	0	0.029585798816568	0	0	0.0355329949238579	0	0.0571428571428571	0.032258064516129	0	0	0	0	0	0	0.00854700854700855	0.00772200772200772	0.0476190476190476	0	0	0	-0.278278479978755	0.27400378205864	FALSE
15	KRAKOW	2019	3	1200_1600	0.0769230769230769	0	0.0355029585798817	0	0.0357142857142857	0.027072758037225	0	0	0	0	0	0	0	0	0	0.00854700854700855	0.00193050193050193	0	0.333333333333333	0	0.0227272727272727	-0.182897433559281	0.242562669718603	FALSE
16	KRAKOW	2019	3	1600_2000	0	0	0.0236686390532544	0	0.0238095238095238	0.0236886632825719	0	0	0	0	0	0	0	0	0	0.0170940170940171	0.0115830115830116	0.142857142857143	0	0	0.0113636363636364	-0.276218675490716	0.183055231145251	FALSE
17	KRAKOW	2019	3	2000_0000	0	0	0.0118343195266272	0	0.0238095238095238	0.0101522842639594	0	0	0.032258064516129	0	0	0	0	0	0	0	0.00965250965250965	0	0	0	0	-0.266520943088733	0.0118718629015412	FALSE
18	KRAKOW	2019	4	0000_0400	0	0.111111111111111	0	0	0	0.00169204737732657	0	0	0.032258064516129	0	0	0	0	0	0	0	0.00579150579150579	0	0	0	0	-0.1265761276283	0.257804209162393	FALSE
19	KRAKOW	2019	4	0400_0800	0.0769230769230769	0.111111111111111	0.0118343195266272	0	0.0357142857142857	0.0050761421319797	0	0	0.0483870967741935	0	0	0	0	0	0	0.00854700854700855	0.00772200772200772	0	0.333333333333333	0	0.0113636363636364	-0.180511254045752	0.278085533644538	FALSE
20	KRAKOW	2019	4	0800_1200	0.0769230769230769	0	0.029585798816568	0	0.0238095238095238	0.0135363790186125	0	0	0.0645161290322581	0	0	0	0	0.0714285714285714	0	0.00854700854700855	0.028957528957529	0.0952380952380952	0	0	0.0113636363636364	-0.275356517374658	0.325082201684948	FALSE
21	KRAKOW	2019	4	1200_1600	0.0769230769230769	0	0.0236686390532544	0	0.0119047619047619	0.0169204737732657	0	0	0	0	0	0	0	0	0	0.0170940170940171	0.0115830115830116	0.0476190476190476	0	0	0.0227272727272727	-0.317643222964258	0.221593377300048	FALSE
22	KRAKOW	2019	4	1600_2000	0	0	0.0236686390532544	0	0.0119047619047619	0.011844331641286	0	0	0.0161290322580645	0	0	0	0	0.142857142857143	0	0	0.00579150579150579	0	0.333333333333333	0	0.0227272727272727	-0.172423913697818	0.248548240939919	FALSE
23	KRAKOW	2019	4	2000_0000	0	0	0	0	0	0.0101522842639594	0	0	0	0	0	0	0	0	0	0.0256410256410256	0.0154440154440154	0	0	0	0	-0.179230286857933	-0.17036525469777	FALSE
24	KRAKOW	2019	5	0000_0400	0	0	0	0	0	0.00169204737732657	0	0	0.0161290322580645	0	0	0	0	0	0	0	0.00772200772200772	0	0	0	0	0.00563724765621912	-0.0643716809775755	FALSE
