term	A_lockdown	A_region	B_lockdown	B_region	null.value	estimate	conf.low	conf.high	adj.p.value	animal	FDR	significance
73	lockdown:Gmina	FALSE	WIELICZKA	FALSE	NIEPOLOMICE	0	0.00793650793650794	-0.00676387201064775	0.0226368878836636	0.629116990817007	beaver	1	FALSE
74	lockdown:Gmina	TRUE	WIELICZKA	FALSE	NIEPOLOMICE	0	0	-0.0198938854600642	0.0198938854600642	1	beaver	1	FALSE
75	lockdown:Gmina	FALSE	WIELICZKA	TRUE	NIEPOLOMICE	0	0.000992063492063494	-0.0190277338924392	0.0210118608765662	0.999991631546036	beaver	1	FALSE
76	lockdown:Gmina	TRUE	WIELICZKA	TRUE	NIEPOLOMICE	0	-0.00694444444444444	-0.0310371361874597	0.0171482472985708	0.961563123010543	beaver	1	FALSE
77	lockdown:Gmina	TRUE	WIELICZKA	FALSE	WIELICZKA	0	-0.00793650793650794	-0.0279563053210106	0.0120832894479948	0.863187839598281	beaver	1	FALSE
78	lockdown:Gmina	TRUE	KRAKOW	FALSE	KRAKOW	0	0.00022328904767221	-0.00662892629473155	0.00707550439007597	0.999998964162655	birds	1	FALSE
79	lockdown:Gmina	TRUE	NIEPOLOMICE	TRUE	KRAKOW	0	-0.0103550295857988	-0.0189178511943356	-0.00179220797726201	0.00804256152259941	birds	0.0506681375923763	FALSE
80	lockdown:Gmina	TRUE	NIEPOLOMICE	FALSE	NIEPOLOMICE	0	-0.000134480903711673	-0.00731132767641833	0.00704236586899499	0.999999934656062	birds	1	FALSE
81	lockdown:Gmina	FALSE	WIELICZKA	FALSE	NIEPOLOMICE	0	7.68462306923849e-05	-0.0052264101187571	0.00538010258014187	0.999999981917416	birds	1	FALSE
82	lockdown:Gmina	TRUE	WIELICZKA	FALSE	NIEPOLOMICE	0	-0.000504303388918773	-0.00768115016162543	0.00667254338378789	0.999952581814739	birds	1	FALSE
83	lockdown:Gmina	FALSE	WIELICZKA	TRUE	NIEPOLOMICE	0	0.000211327134404058	-0.00701094317260243	0.00743359744141055	0.999999394742906	birds	1	FALSE
84	lockdown:Gmina	TRUE	WIELICZKA	TRUE	NIEPOLOMICE	0	-0.000369822485207101	-0.0090614155542826	0.0083217705838684	0.999996082211763	birds	1	FALSE
85	lockdown:Gmina	TRUE	WIELICZKA	FALSE	WIELICZKA	0	-0.000581149619611158	-0.00780341992661765	0.00664112068739533	0.999907300991499	birds	1	FALSE
86	lockdown:Gmina	TRUE	KRAKOW	FALSE	KRAKOW	0	0.000443951165371808	-0.0254922935790233	0.026380195909767	0.999999958425156	deer	1	FALSE
87	lockdown:Gmina	FALSE	NIEPOLOMICE	FALSE	KRAKOW	0	-0.00677530017152659	-0.0257529341115925	0.0122023337685394	0.907896182474356	deer	1	FALSE
88	lockdown:Gmina	TRUE	NIEPOLOMICE	FALSE	KRAKOW	0	-0.0113207547169811	-0.0378635764591424	0.0152220670251801	0.822392710279859	deer	1	FALSE
89	lockdown:Gmina	FALSE	WIELICZKA	FALSE	KRAKOW	0	-0.0113207547169811	-0.0305436895571634	0.0079021801232011	0.536024142276764	deer	1	FALSE
90	lockdown:Gmina	TRUE	WIELICZKA	FALSE	KRAKOW	0	-0.0113207547169811	-0.0378635764591424	0.0152220670251801	0.822392710279859	deer	1	FALSE
91	lockdown:Gmina	FALSE	NIEPOLOMICE	TRUE	KRAKOW	0	-0.0072192513368984	-0.0337918843558797	0.0193533816820829	0.970188430287621	deer	1	FALSE
