Gmina	year	month	X0000_0400	X0400_0800	X0800_1200	X1200_1600	X1600_2000	X2000_0000	mds1	mds2	lockdown
27	WIELICZKA	2019	3	0	0.0117647058823529	0.0148423005565863	0.0153452685421995	0.00923076923076923	0.00531914893617021	0.30814085946277	-0.00822455551453966	FALSE
28	WIELICZKA	2019	4	0	0.0156862745098039	0.0185528756957328	0.0255754475703325	0.0307692307692308	0.0106382978723404	0.0816348034682084	0.0298032379473293	FALSE
29	WIELICZKA	2019	5	0	0.0313725490196078	0.0148423005565863	0.020460358056266	0.0123076923076923	0.00531914893617021	0.149499550584643	0.0574406502307023	FALSE
30	WIELICZKA	2019	6	0	0.00784313725490196	0.0204081632653061	0.0153452685421995	0.0184615384615385	0.0106382978723404	0.234191628870544	0.00587998331568544	FALSE
31	WIELICZKA	2020	1	0	0	0.0166975881261596	0.0153452685421995	0.00923076923076923	0.00531914893617021	0.30142805431288	0.0193297980108311	FALSE
32	WIELICZKA	2020	2	0	0.00784313725490196	0.0148423005565863	0.0127877237851662	0.0153846153846154	0.00531914893617021	0.308197688698923	-0.0227330262143422	FALSE
33	WIELICZKA	2020	3	0.025	0.0392156862745098	0.0148423005565863	0.020460358056266	0.0153846153846154	0.00531914893617021	-0.00453678971350779	0.303366266347527	TRUE
34	WIELICZKA	2020	4	0	0.00392156862745098	0.0111317254174397	0.00767263427109974	0.00615384615384615	0.0106382978723404	0.318712623067008	-0.212532387573884	TRUE
35	WIELICZKA	2020	5	0	0.00784313725490196	0.0166975881261596	0.0127877237851662	0.00923076923076923	0.0106382978723404	0.310174719940867	-0.059599895370676	TRUE
36	WIELICZKA	2020	6	0	0.0156862745098039	0.0222634508348794	0.0127877237851662	0.00923076923076923	0.0159574468085106	0.202963981810058	0.00533048161203435	FALSE
